iter	RMSE
0	3045.425701
1	2972.85017
2	2905.160273
3	2839.835332
4	2776.922249
5	2717.82761
6	2656.706268
7	2598.136242
8	2541.023226
9	2484.969084
10	2430.757893
11	2381.56828
12	2332.797411
13	2288.094232
14	2242.776706
15	2197.414117
16	2159.490142
17	2117.373349
18	2078.899645
19	2039.75868
20	2001.655445
21	1970.423053
22	1936.320308
23	1901.327634
24	1870.389233
25	1840.989214
26	1812.516119
27	1783.457318
28	1755.719609
29	1730.232564
30	1705.882676
31	1680.224741
32	1655.822728
33	1632.455489
34	1611.388429
35	1590.238445
36	1571.248262
37	1551.401294
38	1532.163207
39	1515.585122
40	1499.123041
41	1483.934115
42	1468.090045
43	1455.50124
44	1441.169472
45	1428.280395
46	1416.509914
47	1405.085901
48	1392.318467
49	1381.937942
50	1371.636548
51	1361.717034
52	1351.141938
53	1341.026981
54	1331.497566
55	1323.413241
56	1316.385638
57	1309.226573
58	1302.212398
59	1293.985684
60	1287.085511
61	1281.241988
62	1274.419652
63	1268.858998
64	1263.724725
65	1257.991009
66	1252.915203
67	1248.382985
68	1243.475805
69	1238.414531
70	1233.306764
71	1228.815812
72	1225.302552
73	1220.778024
74	1216.75086
75	1212.603846
76	1208.691819
77	1205.885448
78	1203.209295
79	1200.230589
80	1197.876564
81	1195.315524
82	1191.599432
83	1188.384035
84	1186.127053
85	1183.963466
86	1181.167266
87	1179.15483
88	1177.120934
89	1175.039987
90	1173.185938
91	1171.469138
92	1170.080591
93	1167.281322
94	1165.784901
95	1164.086794
96	1162.713196
97	1161.416234
98	1160.393419
99	1159.604887
