iter	RMSE
0	3049.889338
1	2977.832327
2	2910.526475
3	2845.688847
4	2781.120569
5	2721.921473
6	2661.624087
7	2603.673707
8	2547.137746
9	2491.786384
10	2438.169621
11	2389.31233
12	2341.023551
13	2296.723174
14	2251.117727
15	2206.453038
16	2168.637746
17	2127.02967
18	2089.199764
19	2052.082336
20	2014.268528
21	1983.30615
22	1949.977313
23	1915.156123
24	1883.855464
25	1853.598808
26	1825.817634
27	1796.780281
28	1768.94198
29	1743.890323
30	1719.895753
31	1694.799286
32	1670.942212
33	1647.502126
34	1625.700676
35	1604.803849
36	1586.022545
37	1566.07152
38	1546.985645
39	1530.623925
40	1514.2102
41	1498.861429
42	1483.116681
43	1470.07977
44	1455.942406
45	1443.348614
46	1432.00976
47	1420.903416
48	1408.434622
49	1398.07121
50	1387.645321
51	1377.917342
52	1367.28413
53	1357.764944
54	1348.31516
55	1339.920455
56	1332.989035
57	1325.829765
58	1318.524689
59	1310.277428
60	1303.1555
61	1297.306472
62	1290.776058
63	1283.8482
64	1278.997399
65	1273.024023
66	1268.024196
67	1263.146311
68	1258.896225
69	1253.835452
70	1249.568996
71	1245.884285
72	1241.248875
73	1236.817024
74	1233.505346
75	1229.379109
76	1225.745385
77	1222.315818
78	1219.45013
79	1216.803151
80	1214.401388
81	1211.837021
82	1209.585689
83	1206.399405
84	1204.258094
85	1202.106869
86	1199.313856
87	1197.20051
88	1195.728503
89	1194.001413
90	1192.133472
91	1189.858206
92	1188.074634
93	1186.504743
94	1185.159392
95	1183.234932
96	1181.695836
97	1180.345941
98	1178.52798
99	1177.756423
