iter	RMSE
0	2899.655351
1	2823.174902
2	2750.452327
3	2680.167859
4	2612.321223
5	2548.489099
6	2482.468912
7	2418.689647
8	2357.320413
9	2296.092481
10	2238.259952
11	2183.993014
12	2130.062113
13	2080.233037
14	2029.562718
15	1978.849092
16	1936.190692
17	1889.414511
18	1846.445709
19	1801.87238
20	1758.959108
21	1722.992426
22	1684.310845
23	1644.241036
24	1605.391215
25	1571.237636
26	1537.833935
27	1503.342281
28	1469.992291
29	1439.626988
30	1410.822388
31	1382.519087
32	1353.538586
33	1324.222538
34	1297.151396
35	1271.023015
36	1247.339961
37	1222.87038
38	1200.68784
39	1177.284649
40	1156.211492
41	1135.72844
42	1115.406258
43	1098.56154
44	1079.34091
45	1062.50053
46	1046.460308
47	1031.176323
48	1014.638984
49	1000.791436
50	987.1766629
51	973.6052159
52	958.3493787
53	945.1311782
54	931.5793825
55	919.3856432
56	908.5046001
57	898.0750994
58	887.6290203
59	876.1437715
60	865.7060511
61	856.689254
62	846.9263469
63	836.8732791
64	829.3595682
65	819.8196598
66	810.8312798
67	802.0501594
68	794.2824723
69	786.7010591
70	778.9906108
71	772.8591204
72	767.2093314
73	761.3066152
74	755.1740923
75	749.1362322
76	743.3035885
77	738.15231
78	733.6840646
79	729.2590523
80	725.4568656
81	721.7027255
82	717.7134446
83	714.6391816
84	710.6268532
85	707.3112727
86	703.1012451
87	699.9245731
88	697.5174686
89	693.7191082
90	690.9988554
91	687.7141277
92	684.9730082
93	681.91477
94	679.4795112
95	676.7040502
96	674.1066973
97	671.6501479
98	669.3799147
99	667.6690561
