iter	RMSE
0	3062.428412
1	2989.786182
2	2921.487344
3	2855.677318
4	2790.042548
5	2730.10394
6	2668.572441
7	2609.688709
8	2552.455546
9	2496.444664
10	2442.282729
11	2392.927126
12	2344.219635
13	2299.191553
14	2252.895556
15	2209.344214
16	2171.124605
17	2129.222786
18	2090.737332
19	2053.015965
20	2014.67871
21	1983.126805
22	1949.433825
23	1914.06447
24	1880.429868
25	1850.924977
26	1822.61019
27	1793.194912
28	1765.073515
29	1739.77956
30	1715.328666
31	1689.335545
32	1665.15489
33	1641.619498
34	1619.704353
35	1598.312633
36	1579.612758
37	1559.715637
38	1540.570449
39	1524.109349
40	1507.741394
41	1492.410958
42	1475.873608
43	1462.444535
44	1448.052017
45	1435.346698
46	1423.743392
47	1412.529293
48	1399.59046
49	1389.418103
50	1377.317733
51	1367.334827
52	1358.352548
53	1348.35472
54	1339.243754
55	1330.341232
56	1323.121748
57	1316.257393
58	1309.032791
59	1300.828978
60	1293.104543
61	1287.397634
62	1280.481709
63	1274.845614
64	1269.877557
65	1264.049209
66	1258.621866
67	1253.693568
68	1247.850703
69	1243.151287
70	1238.402407
71	1234.731727
72	1230.385832
73	1226.980142
74	1223.64225
75	1219.593718
76	1215.746514
77	1212.491134
78	1209.420509
79	1206.776251
80	1204.270241
81	1201.684282
82	1197.856243
83	1194.038073
84	1191.449135
85	1189.199483
86	1186.522178
87	1184.496095
88	1182.948387
89	1180.195493
90	1178.38869
91	1176.203495
92	1174.488826
93	1172.713602
94	1170.991947
95	1169.092033
96	1167.855883
97	1165.886763
98	1164.439537
99	1163.801289
