iter	Passed	Remaining
475	767	763
476	768	762
477	770	761
478	772	759
479	774	758
480	778	758
481	780	758
482	782	756
483	789	759
484	793	760
485	796	759
486	797	758
487	799	756
488	801	755
489	803	754
490	804	752
491	806	750
492	807	748
493	809	746
494	810	745
495	812	743
496	813	741
497	815	739
498	817	738
499	818	736
500	836	749
501	838	748
502	839	746
503	841	744
504	842	742
505	851	747
506	853	745
507	854	743
508	856	742
509	858	740
510	859	738
511	863	738
512	865	737
513	867	735
514	868	733
515	870	732
516	871	730
517	874	729
518	875	727
519	879	727
520	880	725
521	882	723
522	883	721
523	885	719
524	886	717
525	888	716
526	890	714
527	894	714
528	895	713
529	897	711
530	899	709
531	900	707
532	902	705
533	904	704
534	905	702
535	908	701
536	910	700
537	912	698
538	913	696
539	915	695
540	917	693
541	919	692
542	921	690
543	923	689
544	925	687
545	927	686
546	928	684
547	930	682
548	932	681
549	934	679
550	937	678
551	939	677
552	940	675
553	942	673
554	943	671
555	945	669
556	947	668
557	949	666
558	951	665
559	953	663
560	954	662
561	956	660
562	957	658
563	959	656
564	960	654
565	962	653
566	964	651
567	966	650
568	968	648
569	969	646
570	971	644
571	972	642
572	974	641
573	975	639
574	978	637
575	979	636
576	982	635
577	984	633
578	986	631
579	987	630
580	989	628
581	990	626
582	992	624
583	994	623
584	997	622
585	999	620
586	1001	619
587	1002	617
588	1004	615
589	1005	613
590	1008	612
591	1011	611
592	1014	610
593	1015	608
594	1017	606
595	1018	605
596	1020	603
597	1022	601
598	1024	600
599	1028	599
600	1030	598
601	1031	596
602	1033	594
603	1034	592
604	1036	590
605	1039	589
606	1041	588
607	1044	587
608	1045	585
609	1047	583
610	1049	582
611	1050	580
612	1052	578
613	1054	577
614	1057	575
615	1060	574
616	1061	572
617	1063	571
618	1064	569
619	1066	567
620	1067	565
621	1069	564
622	1071	562
623	1073	560
624	1076	559
625	1077	557
626	1079	556
627	1081	554
628	1083	552
629	1086	551
630	1088	550
631	1091	549
632	1093	547
633	1095	545
634	1096	544
635	1098	542
636	1099	540
637	1101	538
638	1103	537
639	1105	535
640	1107	533
641	1108	531
642	1110	530
643	1111	528
644	1113	526
645	1114	524
646	1116	522
647	1118	521
648	1120	519
649	1122	517
650	1123	516
651	1125	514
652	1126	512
653	1127	510
654	1129	508
655	1131	506
656	1133	505
657	1135	503
658	1137	502
659	1138	500
660	1140	498
661	1141	496
662	1143	495
663	1145	493
664	1147	491
665	1149	490
666	1151	488
667	1152	486
668	1154	484
669	1155	483
670	1157	481
671	1158	479
672	1160	477
673	1162	476
674	1164	474
675	1166	472
676	1167	470
677	1169	469
678	1170	467
679	1172	465
680	1173	463
681	1175	461
682	1177	460
683	1179	458
684	1181	457
685	1182	455
686	1184	453
687	1185	451
688	1187	449
689	1188	447
690	1190	446
691	1192	444
692	1194	442
693	1196	441
694	1197	439
695	1199	437
696	1200	435
697	1202	434
698	1203	432
699	1205	430
700	1207	428
701	1209	427
702	1211	425
703	1212	423
704	1214	421
705	1215	420
706	1216	418
707	1218	416
708	1220	414
709	1222	413
710	1224	411
711	1226	409
712	1227	408
713	1229	406
714	1230	404
715	1232	402
716	1233	400
717	1235	399
718	1237	397
719	1238	395
720	1240	393
721	1241	392
722	1243	390
723	1244	388
724	1246	386
725	1247	384
726	1248	383
727	1250	381
728	1252	379
729	1253	377
730	1255	376
731	1256	374
732	1258	372
733	1259	370
734	1261	368
735	1262	367
736	1264	365
737	1265	363
738	1267	361
739	1268	359
740	1269	358
741	1271	356
742	1272	354
743	1274	352
744	1275	350
745	1276	349
746	1278	347
747	1279	345
748	1281	343
749	1282	342
750	1284	340
751	1285	338
752	1287	336
753	1288	334
754	1290	333
755	1291	331
756	1293	329
757	1294	328
758	1296	326
759	1300	325
760	1301	323
761	1303	321
762	1304	319
763	1306	317
764	1307	316
765	1308	314
766	1310	312
767	1311	310
768	1312	309
769	1314	307
770	1315	305
771	1317	303
772	1318	301
773	1319	300
774	1321	298
775	1322	296
776	1324	294
777	1325	293
778	1327	291
779	1328	289
780	1329	287
781	1331	285
782	1332	284
783	1333	282
784	1335	280
785	1336	278
786	1338	277
787	1339	275
788	1340	273
789	1342	271
790	1343	270
791	1345	268
792	1346	266
793	1347	264
794	1349	263
795	1350	261
796	1351	259
797	1353	257
798	1354	256
799	1356	254
800	1357	252
801	1358	250
802	1360	249
803	1361	247
804	1363	245
805	1364	243
806	1365	242
807	1367	240
808	1368	238
809	1370	236
810	1371	235
811	1372	233
812	1374	231
813	1375	229
814	1376	228
815	1378	226
816	1379	224
817	1380	222
818	1382	221
819	1383	219
820	1385	217
821	1386	215
822	1388	214
823	1389	212
824	1391	210
825	1393	209
826	1394	207
827	1396	205
828	1397	203
829	1399	202
830	1400	200
831	1402	198
832	1403	197
833	1405	195
834	1406	193
835	1407	191
836	1409	190
837	1410	188
838	1412	186
839	1414	185
840	1415	183
841	1417	181
842	1419	180
843	1420	178
844	1422	176
845	1424	175
846	1425	173
847	1427	171
848	1428	169
849	1430	168
850	1431	166
851	1433	164
852	1435	163
853	1436	161
854	1438	159
855	1439	158
856	1440	156
857	1442	154
858	1444	152
859	1445	151
860	1447	149
861	1449	147
862	1450	146
863	1452	144
864	1453	142
865	1455	141
866	1456	139
867	1458	137
868	1459	136
869	1462	134
870	1464	132
871	1465	131
872	1467	129
873	1469	127
874	1470	126
875	1472	124
876	1474	122
877	1475	121
878	1477	119
879	1478	117
880	1480	115
881	1481	114
882	1483	112
883	1486	110
884	1487	109
885	1489	107
886	1490	105
887	1492	104
888	1494	102
889	1495	100
890	1497	99
891	1498	97
892	1500	95
893	1501	94
894	1503	92
895	1505	90
896	1507	89
897	1509	87
898	1512	85
899	1514	84
900	1515	82
901	1517	80
902	1519	79
903	1521	77
904	1523	75
905	1525	74
906	1526	72
907	1528	70
908	1529	69
909	1531	67
910	1532	65
911	1534	63
912	1535	62
913	1538	60
914	1539	58
915	1541	57
916	1542	55
917	1544	53
918	1545	52
919	1546	50
920	1548	48
921	1550	47
922	1551	45
923	1553	43
924	1554	42
925	1556	40
926	1557	38
927	1559	36
928	1560	35
929	1562	33
930	1564	31
931	1565	30
932	1566	28
933	1568	26
934	1569	25
935	1571	23
936	1572	21
937	1574	20
938	1575	18
939	1577	16
940	1578	15
941	1580	13
942	1581	11
943	1583	10
944	1584	8
945	1586	6
946	1587	5
947	1589	3
948	1590	1
949	1591	0
